#,Filename,Page/Area,Placement,Instruction
1,Blue-Hour Limestone Cedar Estate.png,Homepage,Main hero,Use as the primary homepage hero image.
2,Milton’s Mill Pond at Golden Hour.png,Milton,Master city image,"Use for Homepage Featured Cities: Milton, Milton city overview hero, and all Milton neighbourhood detail page heroes."
3,Oakville Harbour and Historic Lighthouse.png,Oakville,Master city image,"Use for Homepage Featured Cities: Oakville, Oakville city overview hero, and all Oakville neighbourhood detail page heroes."
4,Golden Hour Over Burlington’s Brant Street Pier.png,Burlington,Master city image,"Use for Homepage Featured Cities: Burlington, Burlington city overview hero, and all Burlington neighbourhood detail page heroes."
5,Boutique Realty Lounge in Morning Light.png,Homepage,Our Philosophy,Use beside the homepage philosophy / boutique brokerage section. Can also be reused on About if needed.
6,Family Walks Toward Their New Home.png,Homepage,Buying service,Use for the Buying card in the How We Help section.
7,Sunlit Ontario Family Living Room.png,Homepage,Selling service,Use for the Selling card in the How We Help section.
8,Leafy Ontario Four-Unit Brick Apartments.png,Homepage,Investing service,Use for the Investing card in the How We Help section.
9,Halton Mixed-Use at Blue Hour.png,Homepage,Commercial service,Use for the Commercial card in the How We Help section.
10,Sunlit contemporary office with leafy Ontario views.png,Commercial page,Hero,Use as Commercial page hero.
11,Real estate advisor in a sunlit kitchen.png,Buy page,Hero,Use as Buy page hero.
12,Real Estate Team Reviews Floor Plan.png,About page,Why Boutique / advisory section,Use in the About page boutique-advisory section.
13,"Hands, Plans, and Home.png",Sell page,Hero,Use as Sell page hero.
14,Sunlit consultation nook with linen armchairs.png,Contact page,Hero,Use as Contact page hero.
15,Suburb to Niagara Escarpment at Sunrise.png,Neighbourhoods directory,Hero,Use as the main hero for the neighbourhoods directory / browse-all-neighbourhoods page.
16,Ontario Lakefront Estate at Twilight.png,Luxury page,Hero,Use as Luxury page hero.
17,Ontario limestone estate in autumn light.png,Luxury page,Estate image,Use for the luxury estate / estate homes feature block.
18,Cedar terrace over Lake Ontario.png,Luxury page,Waterfront image,Use for the waterfront homes feature block.
19,Curved Oak Staircase in Morning Light.png,Luxury page,Custom-build interior,Use for custom homes / refined interiors / architectural detail feature block.
20,Milton Homes Beneath the Escarpment.png,Blog,Milton market update,Use as the featured image for the Milton market update article and reuse for its homepage blog card.
21,Old Oakville heritage street in morning light.png,Blog,Oakville buyer's guide,Use as the featured image for the Oakville buyer's guide article and reuse for its homepage blog card.
22,Elegant Final Touches for Home Sale.png,Blog,5 things to fix before listing,Use as the featured image for the seller-preparation article and reuse for its homepage blog card.
23,Planning their household budget together.png,Blog,Buying vs. renting in Halton,Use as featured image for the buying-vs-renting article.
24,Sunlit Retail Space Ready for Fit-Out.png,Blog,Office or retail space?,Use as featured image for the commercial-space article.
25,Golden hour villa by the Pacific.png,Blog,Vacation / Airbnb property,Use as featured image for the vacation-rental / Airbnb article.
26,Daylit Ontario Office Suite.png,Commercial page,Office category,Use for the Office property/service category.
27,Inviting Ontario Streetfront Retail Opportunity.png,Commercial page,Retail category,Use for the Retail property/service category.
28,Late-afternoon logistics warehouse in Halton.png,Commercial page,Industrial category,Use for the Industrial property/service category.
29,Charming Red Brick Century Home.png,Listings,Temporary Old Milton listing placeholder,Temporary only. Replace with real IDX/Proptx listing photo once the listing feed is connected.
30,Milton Brick-and-Stone Family Home.png,Listings,Temporary Scott listing placeholder,Temporary only. Replace with real IDX/Proptx listing photo once the listing feed is connected.
31,Elegant Milton Townhouse in Late Light.png,Listings,Temporary Beaty listing placeholder,Temporary only. Replace with real IDX/Proptx listing photo once the listing feed is connected.
32,Glen Abbey Red Brick Retreat.png,Listings,Temporary Glen Abbey listing placeholder,Temporary only. Replace with real IDX/Proptx listing photo once the listing feed is connected.
